id,subjectName,educationLevels
0482017b-337f-456b-955d-dac934669b9c,Biology,"[""S3"",""S4""]"
05474789-d2c1-4526-8fb4-c94bdee6ca8a,E-Math,"[""S1"",""S2"",""S3"",""S4""]"
0cb1491c-5702-4d5d-8bab-b2eda9e9ac30,H2 Chemistry,"[""J1"",""J2""]"
2cf3bc65-fb26-4a70-86d5-2bdd17ec6e47,Integrated Science,"[""S1"",""S2""]"
38d229c6-044f-4e98-907a-6a501802f291,A-Math,"[""S3"",""S4""]"
502d3a5b-210a-4ecc-b66a-b058b3eb6b04,Mathematics,"[""P1"",""P2"",""P3"",""P4"",""P5"",""P6""]"
524c227b-f408-47b3-ae7c-1ec0e48ae000,Higher Chinese,"[""P5"",""P6""]"
69a2098d-eda9-47e2-8f61-5548125783a3,H1 Mathematics,"[""J1"",""J2""]"
69eed9c9-20e1-457e-9d77-d5e8faefc190,Science,"[""P3"",""P4"",""P5"",""P6""]"
6b16d3e0-9d77-4cd7-9052-68bb228f41e0,Chemistry,"[""S3"",""S4""]"
6c0c954b-eff8-412f-a8ae-3c3148604102,H1 Chemistry,"[""J1"",""J2""]"
71563fbf-325d-4e52-b59b-6c59141ec06f,H1 Physics,"[""J1"",""J2""]"
7fabab43-310d-4cb0-94c6-74ebbc5bb9c1,English,"[""P1"",""P2"",""P3"",""P4"",""P5"",""P6""]"
8e59bd39-2264-4429-b956-ef03f9c17bb3,H1 Economics,"[""J1"",""J2""]"
8fac043b-d4bd-4850-a0e6-a418b76ae578,H2 Physics,"[""J1"",""J2""]"
f1297924-9017-4f77-9ed1-4d2d67b010f4,General Paper,"[""J1"",""J2""]"
f21a788f-f03d-4e7e-be16-acbc0a35c7b7,Chinese,"[""P1"",""P2"",""P3"",""P4"",""P5"",""P6""]"
